name,value
input13,[[:xdigit:]a-bnot\w\d\s.]
input13_9,[[:xdigit:]a-bnot\w\d\s.]|[[:digit:]]
input13_9_9,[[:xdigit:]a-bnot\w\d\s.]|[[:digit:]]|[[:digit:]]
input50,[^[:cntrl:]8-9\%\w\d\s.]
input50_9,[^[:cntrl:]8-9\%\w\d\s.]|[[:digit:]]
input50_9_9,[^[:cntrl:]8-9\%\w\d\s.]|[[:digit:]]|[[:digit:]]
input71,\<[H-Z]
input71_1,\<[SMYZQHXIWNRUVTOKPJL]
input71_1_9,\<[SMYZQHXIWNRUVTOKPJL]|[[:digit:]]
input71_7,\<[H-Y]
input71_7_1,\<[LWJNUTKYXRSHMIQOPV]
input71_7_7,\<[H-X]
input71_7_8,\<[H-Z]
input71_7_9,\<[H-Y]|[[:digit:]]
input71_9,\<[H-Z]|[[:digit:]]
input71_9_1,\<[JITNZQHLYSRUMKPWVOX]|[[:digit:]]
input71_9_7,\<[H-Y]|[[:digit:]]
input71_9_9,\<[H-Z]|[[:digit:]]|[[:digit:]]
input75,\S\B
input75_9,\S\B|[[:digit:]]
input75_9_9,\S\B|[[:digit:]]|[[:digit:]]
input114,\(
input114_9,\(|[[:digit:]]
input114_9_9,\(|[[:digit:]]|[[:digit:]]
input114_9_10,\({1}|[[:digit:]]
input114_10,\(+
input114_10_9,\(+|[[:digit:]]
input115,\s
input115_9,\s|[[:digit:]]
input115_9_9,\s|[[:digit:]]|[[:digit:]]
input120,"\w{2,2}"
input120_9,"\w{2,2}|[[:digit:]]"
input120_9_9,"\w{2,2}|[[:digit:]]|[[:digit:]]"
input120_11,"\W{2,2}"
input120_11_9,"\W{2,2}|[[:digit:]]"
input120_11_11,"\w{2,2}"
input207,^[[:xdigit:]]
input207_9,^[[:xdigit:]]|[[:digit:]]
input207_9_9,^[[:xdigit:]]|[[:digit:]]|[[:digit:]]
input219,\s\b
input219_9,\s\b|[[:digit:]]
input219_9_9,\s\b|[[:digit:]]|[[:digit:]]
input243,[[:punct:]]
input243_9,[[:punct:]]|[[:digit:]]
input243_9_9,[[:punct:]]|[[:digit:]]|[[:digit:]]
input246,\s+
input246_9,\s+|[[:digit:]]
input246_9_9,\s+|[[:digit:]]|[[:digit:]]
input253,[^\s]
input253_9,[^\s]|[[:digit:]]
input253_9_9,[^\s]|[[:digit:]]|[[:digit:]]
input276,"[[:upper:]]{0,0}"
input276_9,"[[:upper:]]{0,0}|[[:digit:]]"
input276_9_9,"[[:upper:]]{0,0}|[[:digit:]]|[[:digit:]]"
input305,\B\S\B
input305_9,\B\S\B|[[:digit:]]
input305_9_9,\B\S\B|[[:digit:]]|[[:digit:]]
input313,\<[k-o]\>
input313_1,\<[lkmno]\>
input313_1_9,\<[nkolm]\>|[[:digit:]]
input313_7,\<[k-n]\>
input313_7_1,\<[knlm]\>
input313_7_7,\<[k-m]\>
input313_7_8,\<[k-o]\>
input313_7_9,\<[k-n]\>|[[:digit:]]
input313_8,\<[k-p]\>
input313_8_1,\<[mplkno]\>
input313_8_7,\<[k-o]\>
input313_8_8,\<[k-q]\>
input313_8_9,\<[k-p]\>|[[:digit:]]
input313_9,\<[k-o]\>|[[:digit:]]
input313_9_1,\<[lkmon]\>|[[:digit:]]
input313_9_7,\<[k-n]\>|[[:digit:]]
input313_9_8,\<[k-p]\>|[[:digit:]]
input313_9_9,\<[k-o]\>|[[:digit:]]|[[:digit:]]
input316,[[:print:]j-s\{\w\D\S.]
input316_9,[[:print:]j-s\{\w\D\S.]|[[:digit:]]
input316_9_9,[[:print:]j-s\{\w\D\S.]|[[:digit:]]|[[:digit:]]
input317,[c-k]+
input317_1,[edjigfckh]+
input317_1_9,[efdkgijch]+|[[:digit:]]
input317_7,[c-j]+
input317_7_1,[edgicjfh]+
input317_7_7,[c-i]+
input317_7_8,[c-k]+
input317_7_9,[c-j]+|[[:digit:]]
input317_8,[c-l]+
input317_8_1,[hjfckgdeil]+
input317_8_7,[c-k]+
input317_8_8,[c-m]+
input317_8_9,[c-l]+|[[:digit:]]
input317_9,[c-k]+|[[:digit:]]
input317_9_1,[jcdfegkhi]+|[[:digit:]]
input317_9_7,[c-j]+|[[:digit:]]
input317_9_8,[c-l]+|[[:digit:]]
input317_9_9,[c-k]+|[[:digit:]]|[[:digit:]]
input321,(\b[h-j]\b)(\<.\>)[[:upper:]](<)(\s+)|(^\W)(\D)
input321_1,(\b[jhi]\b)(\<.\>)[[:upper:]](<)(\s+)|(^\W)(\D)
input321_1_9,(\b[jhi]\b)(\<.\>)[[:upper:]](<)(\s+)|(^\W)(\D)|[[:digit:]]
input321_1_10,(\b[jhi]\b)(\<.\>)[[:upper:]](<)(\s+)|(^\W)(\D)
input321_1_12,(\b[jhi]\b)(\<.\>)[[:upper:]](<)(\s+)|(^\W)(\D)
input321_7,(\b[h-i]\b)(\<.\>)[[:upper:]](<)(\s+)|(^\W)(\D)
input321_7_1,(\b[hi]\b)(\<.\>)[[:upper:]](<)(\s+)|(^\W)(\D)
input321_7_8,(\b[h-j]\b)(\<.\>)[[:upper:]](<)(\s+)|(^\W)(\D)
input321_7_9,(\b[h-i]\b)(\<.\>)[[:upper:]](<)(\s+)|(^\W)(\D)|[[:digit:]]
input321_7_12,(\b[h-i]\b)(\..\>)[[:upper:]](.)(\s+)|(^\W)(\D)
input321_8,(\b[h-k]\b)(\<.\>)[[:upper:]](<)(\s+)|(^\W)(\D)
input321_8_1,(\b[kjih]\b)(\<.\>)[[:upper:]](<)(\s+)|(^\W)(\D)
input321_8_7,(\b[h-j]\b)(\<.\>)[[:upper:]](<)(\s+)|(^\W)(\D)
input321_8_8,(\b[h-l]\b)(\<.\>)[[:upper:]](<)(\s+)|(^\W)(\D)
input321_8_9,(\b[h-k]\b)(\<.\>)[[:upper:]](<)(\s+)|(^\W)(\D)|[[:digit:]]
